0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	2
34	1
35	0
36	1
37	0
38	2
39	3
40	3
41	9
42	4
43	6
44	7
45	9
46	14
47	15
48	26
49	17
50	36
51	36
52	51
53	53
54	45
55	54
56	79
57	81
58	107
59	139
60	144
61	172
62	189
63	260
64	272
65	437
66	875
67	1457
68	1732
69	2098
70	2430
71	2771
72	3411
73	5330
74	8519
75	14896
76	20437
77	16300
78	9335
79	7053
80	8572
81	13049
82	18520
83	24305
84	28975
85	33150
86	27023
87	21616
88	21934
89	23299
90	24507
91	25101
92	25443
93	26287
94	29863
95	35212
96	38173
97	34529
98	32344
99	30520
100	28777
101	27808
102	27746
103	27130
104	28235
105	31406
106	36376
107	39943
108	40943
109	45508
110	51837
111	56415
112	80270
113	166054
114	374548
115	662777
116	697141
117	370420
118	107541
119	27951
120	14303
121	12013
122	12543
123	14932
124	17616
125	17983
126	15334
127	13466
128	13689
129	13472
130	12556
131	11995
132	11827
133	12279
134	12463
135	12629
136	12842
137	13569
138	13540
139	14141
140	14607
141	14679
142	15135
143	15271
144	15829
145	15906
146	16155
147	16183
148	16221
149	16694
150	17181
151	17677
152	17913
153	18673
154	19086
155	19680
156	20292
157	21086
158	21863
159	22870
160	23053
161	23105
162	23287
163	23523
164	24156
165	24499
166	25099
167	25404
168	25517
169	25640
170	25872
171	26136
172	26557
173	26633
174	26933
175	27088
176	27233
177	27551
178	27737
179	27748
180	28195
181	28336
182	28615
183	29046
184	29069
185	29294
186	29646
187	29883
188	29751
189	30872
190	30923
191	31804
192	31872
193	32312
194	32668
195	32574
196	33657
197	33753
198	33704
199	34841
200	35244
201	35870
202	35686
203	35644
204	36194
205	35839
206	36294
207	36837
208	36694
209	37161
210	38304
211	38658
212	39718
213	40673
214	41343
215	42353
216	42881
217	43521
218	43337
219	43766
220	43929
221	44469
222	44204
223	43871
224	44265
225	44537
226	45025
227	47527
228	56351
229	67221
230	66034
231	54598
232	46456
233	43360
234	42525
235	41965
236	40946
237	41338
238	40666
239	40486
240	39795
241	39770
242	40058
243	39667
244	39768
245	39418
246	39082
247	39173
248	39124
249	38675
250	38886
251	38786
252	38571
253	39096
254	38721
255	38604
256	38619
257	38444
258	38465
259	38437
260	38364
261	38335
262	38321
263	38246
264	38381
265	38552
266	38425
267	38973
268	38442
269	38702
270	38758
271	39064
272	38808
273	38852
274	38918
275	39104
276	39569
277	39069
278	39430
279	39257
280	39565
281	39690
282	39446
283	39429
284	39803
285	39427
286	38686
287	39173
288	38922
289	38950
290	38470
291	38239
292	37726
293	37288
294	36246
295	35540
296	33945
297	33048
298	31966
299	31104
300	30388
301	29519
302	29274
303	28668
304	28047
305	27793
306	27470
307	27443
308	27111
309	26697
310	26690
311	26179
312	25662
313	25978
314	25679
315	25763
316	26287
317	29169
318	36643
319	40160
320	34418
321	27712
322	25171
323	24148
324	23786
325	23672
326	23588
327	23195
328	23148
329	22364
330	22515
331	22278
332	21710
333	21587
334	21215
335	21061
336	21005
337	20884
338	20854
339	20447
340	20599
341	20442
342	20203
343	20077
344	19874
345	19931
346	19744
347	19611
348	19733
349	19651
350	19476
351	19243
352	18970
353	18900
354	19039
355	19023
356	18993
357	18734
358	18674
359	18414
360	18751
361	18423
362	18359
363	18285
364	18356
365	18214
366	17998
367	18132
368	17738
369	17475
370	17802
371	17363
372	17433
373	17488
374	17367
375	17060
376	16819
377	16804
378	16767
379	16642
380	16566
381	16386
382	16544
383	16294
384	16216
385	16135
386	15940
387	15884
388	15639
389	15892
390	16088
391	17292
392	28315
393	78042
394	174236
395	213059
396	137904
397	53748
398	21035
399	15341
400	14530
401	14126
402	14022
403	13988
404	13924
405	13733
406	13751
407	13515
408	13381
409	13437
410	13362
411	13362
412	13096
413	13350
414	13399
415	13182
416	13249
417	13147
418	13221
419	13075
420	13041
421	12822
422	12753
423	12615
424	12658
425	12434
426	12728
427	12771
428	13099
429	18301
430	55314
431	198275
432	431216
433	475053
434	259124
435	77155
436	21325
437	12322
438	11367
439	11331
